Entity,Type,Source_URL
habitat,ORG,https://www.britannica.com/science/habitat-loss
Habitat,ORG,https://www.britannica.com/science/habitat-loss
Caribbean,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Atlantic,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
South America,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Mediterranean,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Cameroon,GPE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Lake Victoria,GPE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Madagascar,GPE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Southeast Asia,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
annually,DATE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Elon Musk,PERSON,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Jeff Bezos,PERSON,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Mark Zuckerberg,PERSON,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Earth,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Nature Reviews Biodiversity,ORG,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
the IUCN Red List,ORG,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Rikki Gumbs,PERSON,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
the Zoological Society of London’s Institute of Zoology,ORG,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Mongabay,GPE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Phocoena,GPE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
the next 10 years,DATE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
2022,DATE,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
Two centuries ago,DATE,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
1950,DATE,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
this century,DATE,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
Daniel Pincheira-Donoso,PERSON,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
Queen’s University,ORG,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
Belfast,GPE,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
May,DATE,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
Biological Reviews,ORG,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
Pincheira-Donoso,PERSON,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
the IUCN Red List,ORG,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
Earth,LOC,https://news.mongabay.com/2023/06/global-study-of-71000-animal-species-finds-48-are-declining/
Ailuridae,GPE,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
24 million years,DATE,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
the IUCN Red List,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
ED,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
GE,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
EDGE Zones,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Earth,LOC,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Costa Rica,GPE,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Cameroon,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Hispaniola,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
EDGE,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Madagascar,GPE,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Sebastian Pipins,PERSON,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
the Imperial College London,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
U.K.,GPE,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Mongabay,GPE,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
2030,DATE,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Pipins,ORG,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Banner,PERSON,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Flickr,PERSON,https://news.mongabay.com/short-article/2024/09/just-0-7-of-land-hosts-one-third-of-unique-endangered-species-study/
Mongabay,ORG,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
Jeremy Hance,PERSON,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
Shhhhhh,PERSON,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
bush,PERSON,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
n’t,GPE,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
Rondo,ORG,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
Paragalago,ORG,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
the IUCN Red List,ORG,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
Olivia Couchman,PERSON,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
the Zoological Society of London’s,ORG,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
EDGE,ORG,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
Earth,LOC,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
Couchman,PERSON,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
IUCN,ORG,https://news.mongabay.com/2020/08/why-are-some-endangered-species-ignored/
the Norwegian University of Science and Technology,ORG,https://theconversation.com/thousands-more-species-at-risk-of-extinction-than-currently-recorded-suggests-new-study-188243
The International Union for Conservation of Nature,ORG,https://theconversation.com/thousands-more-species-at-risk-of-extinction-than-currently-recorded-suggests-new-study-188243
more than 50 years,DATE,https://theconversation.com/thousands-more-species-at-risk-of-extinction-than-currently-recorded-suggests-new-study-188243
the Red List of Threatened Species,ORG,https://theconversation.com/thousands-more-species-at-risk-of-extinction-than-currently-recorded-suggests-new-study-188243
pandas,ORG,https://theconversation.com/thousands-more-species-at-risk-of-extinction-than-currently-recorded-suggests-new-study-188243
Norway,GPE,https://theconversation.com/thousands-more-species-at-risk-of-extinction-than-currently-recorded-suggests-new-study-188243
Red List,ORG,https://theconversation.com/thousands-more-species-at-risk-of-extinction-than-currently-recorded-suggests-new-study-188243
the Red List,ORG,https://theconversation.com/thousands-more-species-at-risk-of-extinction-than-currently-recorded-suggests-new-study-188243
Arctic,LOC,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
the IUCN Red List,ORG,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Rodrigues,LOC,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Rodrigues,PERSON,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Emberiza,ORG,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Lidth’s jay,PERSON,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Okinawa robin,PERSON,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Larvivora,PERSON,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Platalea,GPE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Primolius maracana,PERSON,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Amami,GPE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Mauritius,PERSON,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
the Indian Ocean,LOC,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Earth,LOC,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
1968,DATE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
1979,DATE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
BirdLife International,ORG,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
BirdLife’s,PERSON,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
the Mauritian Wildlife Foundation,ORG,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
IUCN,ORG,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
60 years ago,DATE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Vikash Tatayah,PERSON,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Guadalupe Island,LOC,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Baja California,GPE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Mexico,GPE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
the 19th century,DATE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
2007,DATE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
2016,DATE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Idiomela,GPE,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
Shark Bay,LOC,https://news.mongabay.com/short-article/2025/10/20-animal-species-on-the-road-to-recovery-iucn-red-list-update/
America,GPE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
Forgotten Wolf,PERSON,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
the 1960s,DATE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
1963,DATE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
bald eagles,PERSON,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
today,DATE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
DDT,ORG,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
U.S.,GPE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
the U.S. Endangered Species Act,ORG,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
1989,DATE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
Florida,GPE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
Today,DATE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
Texas,GPE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
the mid-20th century,DATE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
wolf,PERSON,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
1975,DATE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
Yellowstone,GPE,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/endangered-species-success-stories
the next decade,DATE,https://theconversation.com/climate-change-could-cause-abrupt-biodiversity-losses-this-century-135968
abrupt jumps,PERSON,https://theconversation.com/climate-change-could-cause-abrupt-biodiversity-losses-this-century-135968
1850,DATE,https://theconversation.com/climate-change-could-cause-abrupt-biodiversity-losses-this-century-135968
this century,DATE,https://theconversation.com/climate-change-could-cause-abrupt-biodiversity-losses-this-century-135968
early this century,DATE,https://theconversation.com/climate-change-could-cause-abrupt-biodiversity-losses-this-century-135968
the 2030s,DATE,https://theconversation.com/climate-change-could-cause-abrupt-biodiversity-losses-this-century-135968
2040s,DATE,https://theconversation.com/climate-change-could-cause-abrupt-biodiversity-losses-this-century-135968
the 2050s,DATE,https://theconversation.com/climate-change-could-cause-abrupt-biodiversity-losses-this-century-135968
